Fiscal Year, Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2014-2015,"32,879",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Facilities Services,Supplies and equipment,
2014-2015,"38,574",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Transportation and communication,
2014-2015,"39,929",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Supplies and equipment,
2014-2015,"42,168",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,French Language Services,Employee benefits,
2014-2015,"50,562",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,French Language Services,Transportation and communication,
2014-2015,"54,413",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Freedom of Information and Privacy,Employee benefits,
2014-2015,"75,601",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Business Planning,Transportation and communication,
2014-2015,"96,888",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Business Planning,Supplies and equipment,
2014-2015,"103,807",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Facilities Services,Transportation and communication,
2014-2015,"107,413",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Transportation and communication,
2014-2015,"146,672",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Transportation and communication,
2014-2015,"187,659",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Facilities Services,Services,
2014-2015,"234,690",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Services,
2014-2015,"273,030",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Freedom of Information and Privacy,Salaries and wages,
2014-2015,"283,568",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,French Language Services,Salaries and wages,
2014-2015,"289,907",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Employee benefits,
2014-2015,"296,956",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,French Language Services,Services,
2014-2015,"390,445",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Services,
2014-2015,"402,667",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Facilities Services,Employee benefits,
2014-2015,"533,412",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Employee benefits,
2014-2015,"632,344",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Business Planning,Employee benefits,
2014-2015,"1,017,069",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Services,
2014-2015,"1,099,125",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Business Planning,Services,
2014-2015,"1,120,750",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Employee benefits,
2014-2015,"1,719,916",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Services,
2014-2015,"2,207,822",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Salaries and wages,
2014-2015,"2,972,882",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Facilities Services,Salaries and wages,
2014-2015,"3,633,607",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Salaries and wages,
2014-2015,"4,146,358",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Salaries and wages,
2014-2015,"5,074,781",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Business Planning,Salaries and wages,
2014-2015,"168,537,548",Ministry of the Attorney General,Operating Expense,Ministry Administration,Ministry Administration,Accommodation - Lease Costs,Services,
2014-2015,"16,667",Ministry of the Attorney General,Operating Expense,Ministry Administration,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"250,793",Ministry of the Attorney General,Operating Expense,Prosecuting Crime,Payments under the Financial Administration Act,Statutory Appropriations,Other Transactions,
2014-2015,179,Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Public Inquiries,Supplies and equipment,
2014-2015,"9,739",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Public Inquiries,Employee benefits,
2014-2015,"25,152",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Public Inquiries,Transportation and communication,
2014-2015,"34,224",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Public Inquiries,Salaries and wages,
2014-2015,"39,468",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Policy,Supplies and equipment,
2014-2015,"151,097",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Policy,Transportation and communication,
2014-2015,"274,000",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Law Commission of Ontario,Transfer payments,Law Commission of Ontario
2014-2015,"618,844",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Policy,Employee benefits,
2014-2015,"695,299",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Policy,Services,
2014-2015,"2,189,223",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Public Inquiries,Services,
2014-2015,"5,197,574",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Policy and Adjudicative Tribunals,Policy,Salaries and wages,
2014-2015,-,Ministry of the Attorney General,Capital Expense,"Policy, Justice Programs and Agencies","Policy, Justice Programs and Agencies",,Other Transactions,
2014-2015,"13,456,500",Ministry of the Attorney General,Operating Expense,Political Contribution Tax Credit,Political Contribution Tax Credit,Political Contribution Tax Credit,Transfer payments,Political Contribution Tax Credit
2014-2015,-,Ministry of the Attorney General,Capital Expense,Prosecuting Crime,Prosecuting Crime,,Other transactions,
2014-2015,"-289,935",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies","Safety, Licensing Appeals and Standards Tribunals Ontario","Safety, Licensing Appeals and Standards Tribunals Ontario",Services,Recoveries
2014-2015,"76,147",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies","Safety, Licensing Appeals and Standards Tribunals Ontario","Safety, Licensing Appeals and Standards Tribunals Ontario",Supplies and equipment,
2014-2015,"487,126",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies","Safety, Licensing Appeals and Standards Tribunals Ontario","Safety, Licensing Appeals and Standards Tribunals Ontario",Transportation and communication,
2014-2015,"658,608",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies","Safety, Licensing Appeals and Standards Tribunals Ontario","Safety, Licensing Appeals and Standards Tribunals Ontario",Employee benefits,
2014-2015,"1,941,711",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies","Safety, Licensing Appeals and Standards Tribunals Ontario","Safety, Licensing Appeals and Standards Tribunals Ontario",Services,
2014-2015,"4,344,241",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies","Safety, Licensing Appeals and Standards Tribunals Ontario","Safety, Licensing Appeals and Standards Tribunals Ontario",Salaries and wages,
2014-2015,"572,683",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Social Justice Tribunals,Social Justice Tribunals,Supplies and equipment,
2014-2015,"2,114,840",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Social Justice Tribunals,Social Justice Tribunals,Transportation and communication,
2014-2015,"3,977,159",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Social Justice Tribunals,Social Justice Tribunals,Employee benefits,
2014-2015,"9,330,467",Ministry of the Attorney General,Operating Expense,"Policy, Justice Programs and Agencies",Social Justice Tribunals,Social Justice Tribunals,Services,
