Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital) (Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2018-19,"33,274,135",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Services,No Value
2018-19,"33,418,871",Community and Social Services,Operating Expense,Adults' Services Program,Community and Developmental Services,No Value,Salaries and wages,No Value
2018-19,"33,529,436",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons ,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Salaries and wages,No Value
2018-19,"33,615,047",Environment and Climate Change,Operating Expense,Environmental Science and Standards ,Environmental Science and Standards ,No Value,Salaries and wages,No Value
2018-19,"33,691,967",Finance,Operating Expense,Financial Services Industry Regulation Program,Financial Services Commission of Ontario,No Value,Salaries and wages,No Value
2018-19,"33,711,039",Transportation,Operating Expense,Ministry Administration Program,Business Support,Facilities and Business Services,Services,No Value
2018-19,"34,006,387","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Food Industry
2018-19,"34,024,438","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Better Public Health and Environment ,No Value,Salaries and wages,No Value
2018-19,"34,107,511",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Ontario Public Service Employees' Union Pension Plan
2018-19,"34,297,580",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Social Justice Tribunals,Salaries and wages,No Value
2018-19,"34,420,224",Community and Social Services,Operating Expense,Adults' Services Program,Financial and Employment Supports,No Value,Employee benefits,No Value
2018-19,"34,452,538",Education,Operating Expense,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,No Value,Salaries and wages,No Value
2018-19,"34,500,000",Health and Long-Term Care,Capital Expense,Health Capital Program,Health Capital,No Value,Transfer payments,Medical and Diagnostic Equipment Fund
2018-19,"34,856,698",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Services,No Value
2018-19,"35,000,000",Municipal Affairs / Housing,Capital Expense,Affordable Housing Program,Affordable Housing Capital,No Value,Transfer payments,Provincial Affordable Housing Loads – Sale
2018-19,"35,058,354",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expenses for Defaulted Student Loans, the Financial Administration Act"
2018-19,"35,115,508",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South East,Transfer payments,Community Health Centres
2018-19,"35,493,035",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South East,Transfer payments,Community Support Services
2018-19,"35,563,678",Health and Long-Term Care,Capital Expense,Health Capital Program,Health Capital,,Transfer payments,Small Hospital Projects
2018-19,"35,574,324",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Salaries and wages,No Value
2018-19,"35,850,343",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central West,Transfer payments,Community Mental Health
2018-19,"36,296,015",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,No Value,Supplies and equipment,No Value
2018-19,"36,384,488",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Ontario Provincial Police Association Benefits
2018-19,"36,736,609",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Community Safety and Well-Being Grant
2018-19,"36,977,487",Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,No Value,Transfer payments,Official Languages Projects
2018-19,"37,107,886","Tourism, Culture and Sport",Operating Expense,Tourism Program,Tourism,No Value,Transfer payments,Grants in Support of Tourism Regions
2018-19,"37,218,621",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer payments,Community Health Centres
2018-19,"37,249,644",Community and Social Services,Operating Expense,Adults' Services Program,Community and Developmental Services,No Value,Transfer payments,Indigenous Healing and Wellness Strategy
2018-19,"37,652,782",Treasury Board Secretariat,Operating Expense,Enterprise Information Technology Services Program,Enterprise Information and Information Technology Services,No Value,Transportation and communication,No Value
2018-19,"37,783,210",Community Safety and Correctional Services,Operating Expense,Justice Technology Services Program,Justice Technology Services,No Value,Transportation and communication,No Value
2018-19,"37,829,481",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Erie St. Claire,Transfer payments,Community Health Centres
2018-19,"37,917,644",Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,No Value,Transfer payments,Health System Research Fund
2018-19,"38,048,082",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North West,Transfer payments,Community Mental Health
2018-19,"38,434,138","Tourism, Culture and Sport",Operating Expense,Tourism Program,Tourism,No Value,Transfer payments,Ontario Tourism Marketing Partnership Corporation
2018-19,"38,589,525",Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Supplies and equipment,No Value
2018-19,"38,668,790",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Mississauga Halton,Transfer payments,Community Mental Health
2018-19,"38,686,190",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Hamilton Niagara Haldimand Brant,Transfer payments,Assisted Living Services in Supportive Housing
2018-19,"38,906,334",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central,Transfer payments,Assisted Living Services in Supportive Housing
2018-19,"38,930,859",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Salaries and wages,No Value
2018-19,"39,038,858","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,New Building Canada Fund - Federal Contribution
2018-19,"39,675,448",Health and Long-Term Care,Capital Expense,Health Capital Program,Health Capital,No Value,Transfer payments,Community Health Programs
2018-19,"40,000,000",Northern Development and Mines,Capital Expense,Northern Development Program,Northern Economic Development,No Value,Transfer payments,Northern Ontario Heritage Fund
2018-19,"40,338,691",Environment and Climate Change,Operating Expense,Environmental Policy and Programs,Environmental Programs,No Value,Transfer payments,Drive Clean Emissions Testing
2018-19,"40,953,021",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Toronto Central,Transfer payments,Addiction Program
2018-19,"40,966,273",Treasury Board Secretariat,Capital Expense,Enterprise Information Technology Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
