Year,Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2015-16,"3,904,683",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,Election Finances Administration,Election Finances Administration,Other Transaction,Election Expense Subsidies
2015-16,"-28,359",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,Election Finances Administration,Election Finances Administration,Recoveries,Recoveries
2015-16,"1,227,265",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,Election Administration,Election Administration,Employee Benefits,
2015-16,"5,989,981",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,Election Administration,Election Administration,Salaries and Wages,
2015-16,"195,391",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,Election Finances Administration,Election Finances Administration,Employee Benefits,
2015-16,"787,712",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,Election Finances Administration,Election Finances Administration,Salaries and Wages,
2015-16,"780,903",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,Election Finances Administration,Election Finances Administration,Services,
2015-16,"5,496",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,Election Finances Administration,Election Finances Administration,Supplies and equipment,
2015-16,"11,648",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,Election Finances Administration,Election Finances Administration,Transportation and Communication,
2015-16,"15,809,258",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer,The Election Act,Statutory Appropriations,Other Transaction,
2015-16,"155,800",Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Other Transaction,Discretionary Allowance
2015-16,"108,568",Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Employee Benefits,
2015-16,"897,580",Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Salaries and Wages,
2015-16,"184,872",Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Services,
2015-16,"85,611",Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Supplies and Equipment,
2015-16,"35,212",Office of the Lieutenant Governor,Operating Expense,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Office of the Lieutenant Governor,Transportation and Communication,
2015-16,"230,293",Office of the Premier,Operating Expense,Office of the Premier,Office of the Premier,Office of the Premier,Employee Benefits,
2015-16,"2,171,761",Office of the Premier,Operating Expense,Office of the Premier,Office of the Premier,Office of the Premier,Salaries and Wages,
2015-16,"9,647",Office of the Premier,Operating Expense,Office of the Premier,Office of the Premier,Office of the Premier,Services,
2015-16,"8,558",Office of the Premier,Operating Expense,Office of the Premier,Office of the Premier,Office of the Premier,Supplies and equipment,
2015-16,"58,773",Office of the Premier,Operating Expense,Office of the Premier,Office of the Premier,Office of the Premier,Transportation and Communication,
2015-16,"16,667",Office of the Premier,Operating Expense,Office of the Premier,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"92,424",Office of the Premier,Operating Expense,Office of the Premier,Premier's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"1,766,694",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,The Ombudsman,Employee Benefits,
2015-16,"7,516,802",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,The Ombudsman,Salaries and Wages,
2015-16,"2,016,450",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,The Ombudsman,Services,
2015-16,"1,572,035",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,The Ombudsman,Supplies and equipment,
2015-16,"294,223",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,The Ombudsman,Transportation and Communication,
2015-16,"45,042,346",Treasury Board Secretariat,Capital Expense,Enterprise Information Technology Services Program,Amortization,Statutory Appropriations,Other Transaction,Amortization
2015-16,"21,418",Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial ,Capital Planning,Transfer Payments,Asset Management
2015-16,"167,200,026",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Canada Pension Plan 
2015-16,"-27,890,300",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee Benefits,Continuation of Benefits for WSIB & LTIP*
2015-16,"51,894,306",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Dental Plan
2015-16,"107,143,468",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Employer Health Tax 
2015-16,"79,286,327",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Employment Insurance
2015-16,"100,000",Treasury Board Secretariat,Operating Expense,"Governance, Agency Oversight, Enterprise Leadership & Learning Program","Governance, Agency Oversight, Enterprise Leadership & Learning ",Centre for Leadership and Learning,Transfer Payments,Grants to the Institute of Public Administration of Canada
2015-16,"7,568,195",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Group Life Insurance
2015-16,"12,251,002",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee Benefits,Group Life Insurance
2015-16,"455,778",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Justices of the Peace Supplemental Pension Plan
2015-16,"1,553,592",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee Benefits,Justices of the Peace Supplemental Pension Plan
2015-16,"75,971,609",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Legislative Severance
2015-16,"-159,519,447",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee Benefits,Legislative Severance
2015-16,"3,117,100",Treasury Board Secretariat,Operating Expense,Poverty Reduction Strategy Program,Poverty Reduction Strategy Office,Poverty Reduction Strategy Office,Transfer Payments,Local Poverty Reduction Fund
2015-16,"87,841,491",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Long-Term Income Protection
2015-16,"-96,600,000",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee Benefits,Long-Term Income Protection
2015-16,"37,110,960",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Ontario Provincial Police Association Benefits
2015-16,"215,799,496",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share) Program,Employee Benefits,Ontario Public Service Employees' Union Pension Plan
2015-16,"-5,120,537",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee Benefits,Ontario Public Service Employees' Union Pension Plan
