Year,Amount,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2021-22,"132,371",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transportation and communication,No Value
2021-22,"267,698",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Services,No Value
2021-22,"16,530",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Supplies and equipment,No Value
2021-22,"4,393,056",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transfer payments,Ontario Indigenous Courtwork Program
2021-22,"19,604,143",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transfer payments,Indigenous Justice Projects
2021-22,"12,328,934",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transfer payments,Indigenous Victims' Services
2021-22,"110,000",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transfer payments,Jury Roll
2021-22,"16,598",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"477,352",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Statutory Appropriations,No Value,Other transactions,Hearings under the Police Services Act
2021-22,"31,869,528",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Salaries and wages,No Value
2021-22,"3,891,662",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Employee benefits,No Value
2021-22,"154,106",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Transportation and communication,No Value
2021-22,"11,704,458",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Services,No Value
2021-22,"656,969",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Supplies and equipment,No Value
2021-22,"-23,675,864",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Recoveries,No Value
2021-22,"111,604,533",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services Branches,Salaries and wages,No Value
2021-22,"11,297,774",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services Branches,Employee benefits,No Value
2021-22,"-122,217,176",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services Branches,Recoveries,No Value
2021-22,"6,027,046",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Salaries and wages,No Value
2021-22,"669,225",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Employee benefits,No Value
2021-22,"29,456",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Transportation and communication,No Value
2021-22,"251,945",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Services,No Value
2021-22,"13,265",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Supplies and equipment,No Value
2021-22,"-2,364,933",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Recoveries,No Value
2021-22,"49,369,741",Attorney General,Operating Expense,Legal Services Program,Statutory Appropriations,No Value,Other transactions,The Proceedings against the Crown Act
2021-22,"176,648,065",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Salaries and wages,No Value
2021-22,"32,155,106",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Employee benefits,No Value
2021-22,"13,481,406",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Transportation and communication,No Value
2021-22,"53,589,653",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Services,No Value
2021-22,"4,985,408",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Supplies and equipment,No Value
2021-22,"1,351,320",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Transfer payments,Federal Contraventions Act - Support for French Language Services
2021-22,"170,118,817",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Salaries and wages,No Value
2021-22,"13,424,773",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Employee benefits,No Value
2021-22,"724,524",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transportation and communication,No Value
2021-22,"19,445,496",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Services,No Value
2021-22,"598,963",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Supplies and equipment,No Value
2021-22,"410,151",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transfer payments,Grants - National Judicial Institute/Ontario Conference of Judges
2021-22,"6,811,504",Attorney General,Operating Expense,Court Services Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"7,043,911",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Salaries and wages,No Value
2021-22,"1,024,527",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Employee benefits,No Value
2021-22,"79,257",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transportation and communication,No Value
2021-22,"7,274,831",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Services,No Value
2021-22,"16,248",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Supplies and equipment,No Value
2021-22,"1,000,000",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Drug Treatment Courts
2021-22,"10,078,989",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Grants for Partner Assault Response Programs
2021-22,"4,166,450",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Special Victims' Projects
2021-22,"15,001,787",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Grants for Sexual Assault Initiatives
2021-22,839,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Compensation to Victims of Crime
2021-22,"1,590,000",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Child Victims' Program
2021-22,"600,000",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Specialized Services
2021-22,"21,574,713",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Victim Crisis Assistance
2021-22,"7,878,167",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Supervised Access
2021-22,"1,597,963",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Civil Remedies for Illicit Activities - Civil Remedies Act - Grants
2021-22,"423,095",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Civil Remedies for Illicit Activities - Civil Remedies Act - Victims Compensation
2021-22,"17,764,434",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Salaries and wages,No Value
2021-22,"3,244,585",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Employee benefits,No Value
2021-22,"391,488",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Transportation and communication,No Value
2021-22,"761,927",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Services,No Value
2021-22,"85,416",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Supplies and equipment,No Value
2021-22,"8,983,653",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Salaries and wages,No Value
2021-22,"1,005,172",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Employee benefits,No Value
2021-22,"173,330",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Transportation and communication,No Value
2021-22,"22,363,593",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Services,No Value
2021-22,"41,800",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Supplies and equipment,No Value
2021-22,"-99,534",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Recoveries,No Value
